Id,Region,Name,Name_EN,Category,Url
158,kujawsko-pomorskie,Kolegium Jagiellońskie – Toruńska Szkoła Wyższa,Jagiellonian College – Torun University,Private,https://kj.edu.pl/en/
159,kujawsko-pomorskie,Bydgoska Szkoła Wyższa w Bydgoszczy,Bydgoszcz University in Bydgoszcz,Private,https://bsw.edu.pl/
160,kujawsko-pomorskie,Wyższa Szkoła Gospodarki w Bydgoszczy,College of Economics in Bydgoszcz,Private,https://wsg.byd.pl/
161,kujawsko-pomorskie,Wyższa Szkoła Nauk o Zdrowiu w Bydgoszczy,Health Sciences University in Bydgoszcz,Private,https://wsnoz.pl/pl/
162,kujawsko-pomorskie,Wyższa Szkoła Przedsiębiorczości imienia Księcia Kazimierza Kujawskiego z siedzibą w Inowrocławiu,Prince Kazimierz Kujawski School of Entrepreneurship in Inowrocław,Private,https://wsp-inow.pl/
163,kujawsko-pomorskie,Wyższa Szkoła Demokracji im. ks. Jerzego Popiełuszki w Grudziądzu,Father Jerzy Popiełuszko School of Democracy in Grudziądz,Private,http://wsd.info.pl/
164,lubelskie,Lubelska Szkoła Wyższa w Rykach,Lublin University in Ryki,Private,https://lswryki.pl/
165,lubelskie,Wyższa Szkoła Humanistyczno-Ekonomiczna im. J. Zamoyskiego w Zamościu,J. Zamoyski School of Humanities and Economics in Zamość,Private,https://wszh-e.pl/
166,lubelskie,Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie,University of Entrepreneurship and Administration in Lublin,Private,https://wspa.pl/
167,lubelskie,Wyższa Szkoła Ekonomii i Innowacji w Lublinie,University of Economics and Innovation in Lublin,Private,https://www.wsei.lublin.pl/
168,lubelskie,Wyższa Szkoła Nauk Społecznych z siedzibą w Lublinie,University of Social Sciences in Lublin,Private,https://www.wsns.lublin.pl/
169,lubelskie,Akademia Nauk Stosowanych Wincentego Pola w Lublinie,The State Academy of Applied Sciences in Lublin,Private,https://akademia-pol.edu.pl/
170,lubuskie,Wyższa Szkoła Biznesu w Gorzowie Wlkp.,Business School in Gorzow Wielkopolski,Private,https://www.wsb.gorzow.pl/
